"","station","valid","altimeter","Date","Time","interval","baropressure_inHg","baropressure_kPa","baropressure_kPa_chk","equivalent_ft","equivalent_m"
"1","SBA",2025-05-10,29.9,2025-05-10,00:00:00,"00",29.88936067403,101.217032092928,101.217002203568,33.8624617377855,10.3213031965801
"2","SBA",2025-05-10 00:10:00,29.9,2025-05-10,00:10:00,"10",29.88936067403,101.217032092928,101.217002203568,33.8624617377855,10.3213031965801
"3","SBA",2025-05-10 00:15:00,29.9,2025-05-10,00:15:00,"15",29.88936067403,101.217032092928,101.217002203568,33.8624617377855,10.3213031965801
"4","SBA",2025-05-10 00:20:00,29.9,2025-05-10,00:20:00,"20",29.88936067403,101.217032092928,101.217002203568,33.8624617377855,10.3213031965801
"5","SBA",2025-05-10 00:30:00,29.9,2025-05-10,00:30:00,"30",29.88936067403,101.217032092928,101.217002203568,33.8624617377855,10.3213031965801
"6","SBA",2025-05-10 00:40:00,29.9,2025-05-10,00:40:00,"40",29.88936067403,101.217032092928,101.217002203568,33.8624617377855,10.3213031965801
"7","SBA",2025-05-10 00:45:00,29.9,2025-05-10,00:45:00,"45",29.88936067403,101.217032092928,101.217002203568,33.8624617377855,10.3213031965801
"8","SBA",2025-05-10 00:50:00,29.91,2025-05-10,00:50:00,"50",29.899357115727,101.250883943127,101.25085404377,33.8737869758249,10.3247551374485
"9","SBA",2025-05-10 01:00:00,29.9,2025-05-10,01:00:00,"00",29.88936067403,101.217032092928,101.217002203568,33.8624617377855,10.3213031965801
"10","SBA",2025-05-10 01:10:00,29.9,2025-05-10,01:10:00,"10",29.88936067403,101.217032092928,101.217002203568,33.8624617377855,10.3213031965801
"11","SBA",2025-05-10 01:15:00,29.9,2025-05-10,01:15:00,"15",29.88936067403,101.217032092928,101.217002203568,33.8624617377855,10.3213031965801
"12","SBA",2025-05-10 01:20:00,29.9,2025-05-10,01:20:00,"20",29.88936067403,101.217032092928,101.217002203568,33.8624617377855,10.3213031965801
"13","SBA",2025-05-10 01:30:00,29.9,2025-05-10,01:30:00,"30",29.88936067403,101.217032092928,101.217002203568,33.8624617377855,10.3213031965801
"14","SBA",2025-05-10 01:40:00,29.9,2025-05-10,01:40:00,"40",29.88936067403,101.217032092928,101.217002203568,33.8624617377855,10.3213031965801
"15","SBA",2025-05-10 01:45:00,29.9,2025-05-10,01:45:00,"45",29.88936067403,101.217032092928,101.217002203568,33.8624617377855,10.3213031965801
"16","SBA",2025-05-10 01:50:00,29.9,2025-05-10,01:50:00,"50",29.88936067403,101.217032092928,101.217002203568,33.8624617377855,10.3213031965801
"17","SBA",2025-05-10 02:00:00,29.9,2025-05-10,02:00:00,"00",29.88936067403,101.217032092928,101.217002203568,33.8624617377855,10.3213031965801
"18","SBA",2025-05-10 02:10:00,29.89,2025-05-10,02:10:00,"10",29.879364232333,101.18318024273,101.183150363366,33.8511364997461,10.3178512557117
"19","SBA",2025-05-10 02:15:00,29.89,2025-05-10,02:15:00,"15",29.879364232333,101.18318024273,101.183150363366,33.8511364997461,10.3178512557117
"20","SBA",2025-05-10 02:20:00,29.89,2025-05-10,02:20:00,"20",29.879364232333,101.18318024273,101.183150363366,33.8511364997461,10.3178512557117
"21","SBA",2025-05-10 02:30:00,29.89,2025-05-10,02:30:00,"30",29.879364232333,101.18318024273,101.183150363366,33.8511364997461,10.3178512557117
"22","SBA",2025-05-10 02:40:00,29.9,2025-05-10,02:40:00,"40",29.88936067403,101.217032092928,101.217002203568,33.8624617377855,10.3213031965801
"23","SBA",2025-05-10 02:45:00,29.9,2025-05-10,02:45:00,"45",29.88936067403,101.217032092928,101.217002203568,33.8624617377855,10.3213031965801
"24","SBA",2025-05-10 02:50:00,29.9,2025-05-10,02:50:00,"50",29.88936067403,101.217032092928,101.217002203568,33.8624617377855,10.3213031965801
"25","SBA",2025-05-10 03:00:00,29.9,2025-05-10,03:00:00,"00",29.88936067403,101.217032092928,101.217002203568,33.8624617377855,10.3213031965801
"26","SBA",2025-05-10 03:10:00,29.89,2025-05-10,03:10:00,"10",29.879364232333,101.18318024273,101.183150363366,33.8511364997461,10.3178512557117
"27","SBA",2025-05-10 03:15:00,29.89,2025-05-10,03:15:00,"15",29.879364232333,101.18318024273,101.183150363366,33.8511364997461,10.3178512557117
"28","SBA",2025-05-10 03:20:00,29.89,2025-05-10,03:20:00,"20",29.879364232333,101.18318024273,101.183150363366,33.8511364997461,10.3178512557117
"29","SBA",2025-05-10 03:30:00,29.89,2025-05-10,03:30:00,"30",29.879364232333,101.18318024273,101.183150363366,33.8511364997461,10.3178512557117
"30","SBA",2025-05-10 03:40:00,29.89,2025-05-10,03:40:00,"40",29.879364232333,101.18318024273,101.183150363366,33.8511364997461,10.3178512557117
"31","SBA",2025-05-10 03:45:00,29.89,2025-05-10,03:45:00,"45",29.879364232333,101.18318024273,101.183150363366,33.8511364997461,10.3178512557117
"32","SBA",2025-05-10 03:50:00,29.89,2025-05-10,03:50:00,"50",29.879364232333,101.18318024273,101.183150363366,33.8511364997461,10.3178512557117
